      Mesolite
      Stuckenschmidt E, Kirfel A
      European Journal of Mineralogy 12 (2000) 571-579
      Zeolites of NAT topology: Structure refinement of mesolite from single crystal
      X-ray data and comparison with the structures of natrolite and scolecite
      _database_code_amcsd 0006834

      CELL PARAMETERS:  18.4049 56.6550  6.5443   90.000   90.000   90.000
      SPACE GROUP: Fdd2      
      X-RAY WAVELENGTH:     1.541838
      MAX. ABS. INTENSITY / VOLUME**2:      5.057437665    
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 6.24          2.11       14.1637    0   4   0         2
                13.44         67.53        6.5903    2   6   0         4
                14.45         13.25        6.1299    1   1   1         4
                15.11        100.00        5.8616    1   3   1         4
                16.37         14.41        5.4161    1   5   1         4
                18.09          2.79        4.9048    1   7   1         4
                18.80         39.23        4.7213    0  12   0         2
                19.29         26.10        4.6012    4   0   0         2
                19.90          8.35        4.4619    3   1   1         4
                20.16         43.38        4.4050    1   9   1         4
                20.39         49.41        4.3551    3   3   1         4
                21.15         20.33        4.2007    2  12   0         4
                21.34          3.72        4.1628    3   5   1         4
                21.48         11.32        4.1363    4   6   0         4
                22.49          4.79        3.9529    1  11   1         4
                22.70          7.06        3.9168    3   7   1         4
                23.05          2.31        3.8584    4   8   0         4
                24.02          1.14        3.7044    2  14   0         4
                24.40          1.24        3.6477    3   9   1         4
                26.38          5.10        3.3784    3  11   1         4
                26.98          1.41        3.3047    2  16   0         4
                27.06          1.97        3.2952    4  12   0         4
                27.44          1.48        3.2505    0   2   2         2
                27.70         27.65        3.2208    1  15   1         4
                27.85          1.21        3.2032    5   1   1         4
                28.21         37.52        3.1630    5   3   1         4
                28.59          1.43        3.1224    3  13   1         4
                28.88         14.00        3.0918    0   6   2         2
                28.96         13.68        3.0831    2   0   2         2
                29.14          1.69        3.0650    2   2   2         4
                29.65          2.04        3.0125    2   4   2         4
                29.80          1.33        2.9980    6   4   0         4
                29.96          5.23        2.9825    5   7   1         4
                30.00          4.25        2.9781    2  18   0         4
                30.49          2.59        2.9318    1  17   1         4
                30.50         49.53        2.9308    2   6   2         4
                30.64          5.75        2.9174    6   6   0         4
                30.98         97.47        2.8866    3  15   1         4
                31.29         77.67        2.8585    5   9   1         4
                31.58          1.35        2.8335    0  10   2         2
                31.65          2.00        2.8268    2   8   2         4
                31.79          1.24        2.8148    6   8   0         4
                32.89          2.81        2.7232    5  11   1         4
                33.53          1.22        2.6730    3  17   1         4
                34.53          1.10        2.5978    4  18   0         4
                34.72          1.37        2.5837    5  13   1         4
                34.75          5.94        2.5814    2  12   2         4
                34.88          2.00        2.5722    6  12   0         4
                34.96          8.04        2.5662    4   6   2         4
                36.35         13.60        2.4716    1  21   1         4
                36.77          1.28        2.4446    6  14   0         4
                37.16         15.29        2.4196    7   3   1         4
                38.12          2.18        2.3606    0  24   0         2
                38.54          1.02        2.3359    7   7   1         4
                38.78          1.71        2.3219    4  12   2         4
                38.97          2.21        2.3113    5  17   1         4
                38.98          2.37        2.3106    3  21   1         4
                39.16          1.39        2.3006    8   0   0         2
                39.41          1.85        2.2866    2  24   0         4
                39.62          1.42        2.2749    7   9   1         4
                39.74          7.18        2.2684    0  18   2         2
                40.30          4.02        2.2379    6   0   2         2
                40.35          2.65        2.2352    8   6   0         4
                40.43          1.46        2.2309    6   2   2         4
                40.51          1.31        2.2267    4  14   2         4
                40.98         14.82        2.2025    2  18   2         4
                41.09          9.60        2.1968    6  18   0         4
                41.47         10.63        2.1776    6   6   2         4
                41.73          1.06        2.1647    1   1   3         4
                41.86          1.14        2.1580    3  23   1         4
                42.46          1.71        2.1288    7  13   1         4
                42.49          1.06        2.1277    1   5   3         4
                42.64          1.18        2.1204    2  26   0         4
                43.23          1.94        2.0926    1   7   3         4
                43.49          1.50        2.0811    6  20   0         4
                43.77          1.98        2.0681    8  12   0         4
                44.09          1.06        2.0540    3   1   3         4
                44.22          2.34        2.0484    1   9   3         4
                44.33          2.72        2.0433    3   3   3         4
                44.82          1.85        2.0224    3   5   3         4
                45.34          1.42        2.0000    8  14   0         4
                45.42          1.21        1.9968    1  11   3         4
                45.53          1.19        1.9921    3   7   3         4
                45.67          2.65        1.9865    1  27   1         4
                46.36          1.30        1.9584    6  14   2         4
                46.48          5.93        1.9539    3   9   3         4
                46.79          1.20        1.9417    4  20   2         4
                46.79          2.07        1.9416    9   3   1         4
                47.64          1.71        1.9090    3  11   3         4
                47.88          1.85        1.8999    3  27   1         4
                48.44          2.13        1.8791    1  15   3         4
                48.76          4.52        1.8674    5   3   3         4
                48.82          1.52        1.8656    8   4   2         4
                48.85          1.67        1.8643    9   9   1         4
                49.21          1.08        1.8514    5   5   3         4
                49.26          5.46        1.8499    2  30   0         4
                49.38          2.45        1.8457    8   6   2         4
                49.88          2.39        1.8281    5   7   3         4
                50.16          1.08        1.8189    8   8   2         4
                50.43          7.28        1.8095    7  21   1         4
                50.52          5.64        1.8065   10   6   0         4
                50.56          8.84        1.8054    3  15   3         4
                50.77          9.40        1.7984    5   9   3         4
                51.63          1.05        1.7705    0  32   0         2
                51.72          4.23        1.7675    4  24   2         4
                52.08          1.97        1.7561    5  27   1         4
                52.33          3.38        1.7482    8  12   2         4
                52.37          6.76        1.7471    4  30   0         4
                52.79          2.47        1.7340    9  15   1         4
                53.43          5.31        1.7148   10  12   0         4
                53.71          1.14        1.7065    8  14   2         4
                54.31          1.13        1.6891    1  21   3         4
                54.37          1.54        1.6873    4  26   2         4
                54.61          5.48        1.6806    5  15   3         4
                55.57          5.61        1.6539    1  33   1         4
                56.22          6.43        1.6361    0   0   4         1
                56.24          8.60        1.6356    0  30   2         2
                56.27          1.74        1.6349    3  21   3         4
                56.75          2.44        1.6221    7   9   3         4
                57.01          1.72        1.6153    8  18   2         4
                57.02          5.87        1.6151   11   3   1         4
                57.29          1.34        1.6082    6  30   0         4
                57.45          5.62        1.6041   10   0   2         2
                57.55          1.69        1.6016   10   2   2         4
                57.97          2.53        1.5909    7  27   1         4
                58.05          2.10        1.5888   10  18   0         4
                58.35          3.52        1.5814    9  21   1         4
                58.82          1.24        1.5698   11   9   1         4
                60.03          1.95        1.5412    4  30   2         4
                60.05          2.81        1.5406    5  21   3         4
                60.33          2.25        1.5341    7  15   3         4
                60.75          1.64        1.5245    2  12   4         4
                60.89          1.55        1.5214    4   6   4         4
                61.00          2.81        1.5189   10  12   2         4
                62.36          3.31        1.4891    4  36   0         4
                63.19         13.53        1.4716    8  24   2         4
                63.34          3.69        1.4683    3  27   3         4
                63.81          2.51        1.4587   12  12   0         4
                64.15          1.76        1.4517    9   9   3         4
                65.04          3.72        1.4339    2  18   4         4
                65.29          2.75        1.4292    9  27   1         4
                65.40          2.50        1.4270    6   6   4         4
                66.73          2.21        1.4017    2  36   2         4
                66.89          1.21        1.3988    5  27   3         4
                67.50          1.34        1.3876    9  15   3         4
                67.52          1.23        1.3873    7  23   3         4
                67.68          3.10        1.3844    4  18   4         4
                67.83          1.96        1.3817    3  39   1         4
                67.90          3.96        1.3805    6  12   4         4
                68.26          1.75        1.3740   12   6   2         4
                69.56          1.90        1.3515   13   9   1         4
                69.91          1.44        1.3455    1  33   3         4
                69.96          1.92        1.3447    0  24   4         2
                70.65          1.12        1.3333    8   0   4         2
                70.82          3.72        1.3306    2  24   4         4
                71.05          1.37        1.3268   10  24   2         4
                71.20          1.74        1.3244   11   3   3         4
                71.26          3.64        1.3234    5  39   1         4
                71.46          2.97        1.3202    8   6   4         4
                71.59          1.97        1.3181   10  30   0         4
                71.96          2.62        1.3122    6  18   4         4
                72.04          4.67        1.3109    7  27   3         4
                72.38          4.20        1.3056    9  21   3         4
                72.58          1.35        1.3025    1   3   5         4
                72.79          3.33        1.2993   13  15   1         4
                73.58          2.66        1.2873    6  36   2         4
                74.71          2.03        1.2706   12  18   2         4
                77.27          2.73        1.2348    6  42   0         4
                77.36          4.42        1.2335    1  45   1         4
                78.18          1.39        1.2226   10  30   2         4
                78.92          2.39        1.2131   14  18   0         4
                78.97          1.98        1.2123    3  15   5         4
                79.00          1.11        1.2120    3  45   1         4
                79.14          1.81        1.2102    5   9   5         4
                79.65          1.01        1.2037    4  42   2         4
                79.67          3.51        1.2035   15   3   1         4
                80.41          3.50        1.1942    4  30   4         4
                81.21          1.05        1.1844   15   9   1         4
                81.27          2.65        1.1837   10  12   4         4
                81.49          1.12        1.1811   14  12   2         4
                81.70          2.02        1.1787   11  33   1         4
                83.72          1.18        1.1553    6  42   2         4
                84.30          3.41        1.1487    5  39   3         4
                85.76          3.06        1.1329   13  15   3         4
                89.68          1.08        1.0933    1  51   1         4
                89.74          1.21        1.0928    3  27   5         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

