      Scolecite
      Comodi P, Gatta G D, Zanazzi P F
      European Journal of Mineralogy 14 (2002) 567-574
      High-pressure structural behaviour of scolecite
      Sample: P = .0001 GPa
      _database_code_amcsd 0006933

      CELL PARAMETERS:   6.5330 19.0300  9.8300   90.000  109.950   90.000
      SPACE GROUP: Cc        
      X-RAY WAVELENGTH:     1.541838
      MAX. ABS. INTENSITY / VOLUME**2:      5.949383889    
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                13.36         43.79        6.6288    0   2   1         2
                15.08        100.00        5.8758   -1   1   1         2
                15.16         10.41        5.8442    1   1   0         2
                18.65         39.29        4.7575    0   4   0         2
                19.21         27.94        4.6201    0   0   2         1
                20.06         23.95        4.4257   -1   3   1         2
                20.13         20.17        4.4121    1   3   0         2
                20.26         41.26        4.3821   -1   1   2         2
                20.45          9.19        4.3430    1   1   1         2
                21.00         15.34        4.2298    0   4   1         2
                21.38          9.44        4.1560    0   2   2         2
                24.24          2.60        3.6719   -1   3   2         2
                24.39         15.44        3.6489    1   3   1         2
                26.90          1.78        3.3144    0   4   2         2
                27.53         10.69        3.2404   -1   5   1         2
                27.57         12.03        3.2351    1   5   0         2
                28.02         13.67        3.1845   -1   1   3         2
                28.25         19.15        3.1594    1   1   2         2
                28.90         10.28        3.0894   -2   2   1         2
                28.91          5.10        3.0888   -2   0   2         1
                29.08          8.79        3.0705    2   0   0         1
                29.78          6.16        2.9999    0   6   1         2
                30.43         40.10        2.9379   -2   2   2         2
                30.51          7.70        2.9303    0   2   3         2
                30.59         14.03        2.9221    2   2   0         2
                30.76         34.23        2.9068   -1   5   2         2
                30.88         67.27        2.8953    1   5   1         2
                31.07         31.38        2.8783   -1   3   3         2
                31.28         53.18        2.8598    1   3   2         2
                33.27          2.28        2.6928   -2   4   1         2
                34.29          1.42        2.6148    0   6   2         2
                34.62          3.00        2.5907   -2   4   2         2
                34.70          4.46        2.5855    0   4   3         2
                34.79          4.15        2.5788   -2   2   3         2
                35.09          1.19        2.5576    2   2   1         2
                36.10          3.29        2.4883   -1   7   1         2
                36.13          3.83        2.4859    1   7   0         2
                36.66          3.58        2.4511    1   5   2         2
                36.91          2.17        2.4356   -1   1   4         2
                37.15          8.40        2.4199    1   1   3         2
                37.82          1.73        2.3788    0   8   0         2
                38.57          1.95        2.3344   -2   4   3         2
                38.69          3.77        2.3273   -1   7   2         2
                38.79          1.31        2.3214    1   7   1         2
                38.99          1.65        2.3100    0   0   4         1
                39.10          4.13        2.3036    0   8   1         2
                39.34          1.74        2.2902   -1   3   4         2
                39.61          6.93        2.2754   -2   6   1         2
                40.05          4.64        2.2516   -2   0   4         1
                40.17          3.38        2.2448    0   2   4         2
                40.78         11.94        2.2128   -2   6   2         2
                40.84         13.59        2.2096    0   6   3         2
                40.91          3.12        2.2061    2   6   0         2
                41.20          3.72        2.1910   -2   2   4         2
                41.59          7.86        2.1715    2   2   2         2
                42.00          1.25        2.1511   -3   1   2         2
                42.10          3.46        2.1464   -3   1   1         2
                42.76          1.91        2.1149    0   8   2         2
                43.55          3.46        2.0780    0   4   4         2
                43.87          1.24        2.0635   -1   5   4         2
                44.09          1.40        2.0539    1   5   3         2
                44.20          2.72        2.0489   -3   3   2         2
                44.30          2.77        2.0449   -3   3   1         2
                44.50          1.70        2.0360    2   6   1         2
                44.52          5.34        2.0352    3   1   0         2
                44.52          2.13        2.0351   -2   4   4         2
                45.33          2.85        2.0005   -1   9   1         2
                46.36         10.18        1.9586   -3   3   3         2
                46.48          1.37        1.9538   -1   1   5         2
                46.74          1.51        1.9434    1   1   4         2
                47.27          1.43        1.9229   -2   8   1         2
                47.59          3.43        1.9107    1   9   1         2
                47.80          1.58        1.9030    0  10   0         2
                48.29          2.10        1.8846   -2   8   2         2
                48.35          1.64        1.8826    0   8   3         2
                48.45          1.60        1.8787   -3   5   1         2
                48.77          3.23        1.8673    0   6   4         2
                48.78          2.24        1.8670    1   3   4         2
                48.86          4.69        1.8639    0  10   1         2
                48.99          2.76        1.8595    3   1   1         2
                49.48          5.07        1.8421    2   2   3         2
                50.05          6.87        1.8224   -1   7   4         2
                50.25          1.57        1.8157    1   7   3         2
                50.30          5.62        1.8141    0   2   5         2
                50.38          5.63        1.8111   -3   5   3         2
                50.54          8.05        1.8060   -3   3   4         2
                50.63          3.57        1.8028    3   5   0         2
                50.95          1.72        1.7923    3   3   1         2
                51.59          3.15        1.7718    2   8   1         2
                51.67          3.23        1.7691   -1   9   3         2
                51.95          1.71        1.7601   -2   4   5         2
                51.97          4.28        1.7596    0  10   2         2
                52.39          1.76        1.7466    2   4   3         2
                52.42          3.11        1.7455   -1   5   5         2
                53.17          2.63        1.7226    0   4   5         2
                54.33          1.93        1.6884   -3   5   4         2
                54.73          4.33        1.6772    3   5   1         2
                55.13          1.72        1.6659   -1  11   1         2
                55.16          3.69        1.6652    1  11   0         2
                55.45          1.56        1.6572    0   8   4         2
                55.92          9.15        1.6443   -2  10   1         2
                56.26          1.77        1.6352   -2   8   4         2
                56.33          6.78        1.6332   -4   0   2         1
                56.65          1.79        1.6249   -1   1   6         2
                56.83          1.55        1.6202   -2  10   2         2
                56.87          1.07        1.6189    0  10   3         2
                56.93          4.36        1.6175    1   1   5         2
                57.00          1.82        1.6158    2   6   3         2
                57.02          5.50        1.6150   -2   0   6         1
                57.03          1.03        1.6149   -1  11   2         2
                57.52          1.56        1.6023   -1   9   4         2
                57.53          2.06        1.6019    2   0   4         1
                57.69          1.16        1.5978    1   9   3         2
                57.74          1.53        1.5967    0   6   5         2
                57.92          1.31        1.5921   -1   7   5         2
                58.15          1.94        1.5864    1   7   4         2
                58.71          1.03        1.5727    1   3   5         2
                59.72          1.25        1.5485   -3   7   4         2
                59.79          1.38        1.5468    2  10   1         2
                59.96          2.49        1.5428   -3   5   5         2
                60.09          1.95        1.5398    3   7   1         2
                60.54          2.90        1.5293   -2   4   6         2
                60.70          1.68        1.5258   -4   4   3         2
                61.86          2.34        1.4999    0  12   2         2
                62.69          5.40        1.4819   -2   8   5         2
                63.01          1.33        1.4752   -3   9   3         2
                63.08          8.13        1.4738    2   8   3         2
                63.23          2.34        1.4707    3   9   0         2
                63.49          2.40        1.4652    0   4   6         2
                63.71          1.14        1.4607   -3   3   6         2
                64.93          3.03        1.4362   -4   6   3         2
                65.00          1.79        1.4349    1   9   4         2
                65.12          1.17        1.4325   -4   6   1         2
                65.42          1.03        1.4266   -2  12   1         2
                65.70          1.92        1.4211    4   2   1         2
                66.82          1.50        1.4001    3   9   1         2
                67.25          1.45        1.3921   -1  13   2         2
                67.45          1.07        1.3885   -4   6   4         2
                67.60          2.44        1.3858   -4   4   5         2
                67.65          1.31        1.3850    3   5   3         2
                67.82          1.70        1.3819    4   6   0         2
                68.16          1.30        1.3758    4   4   1         2
                68.30          1.05        1.3734    2   2   5         2
                69.39          1.20        1.3544    1   3   6         2
                69.63          1.06        1.3503   -3  11   1         2
                69.86          1.86        1.3464   -4   8   2         2
                70.62          3.06        1.3338   -4   8   3         2
                70.65          1.04        1.3333   -1  13   3         2
                70.76          2.70        1.3315    1  13   2         2
                70.80          1.01        1.3308   -4   8   1         2
                71.07          1.13        1.3265   -4   2   6         2
                71.11          2.30        1.3258    0  10   5         2
                71.41          1.19        1.3209    3   1   4         2
                71.53          2.41        1.3191   -3   9   5         2
                71.62          2.16        1.3176   -4   6   5         2
                71.79          1.99        1.3149    4   2   2         2
                71.84          1.96        1.3140   -3   7   6         2
                72.00          1.94        1.3116    3   9   2         2
                72.28          3.02        1.3071   -1   5   7         2
                72.45          1.95        1.3045    3   7   3         2
                72.57          1.49        1.3026    1   5   6         2
                72.67          1.08        1.3011   -5   1   3         2
                72.97          1.34        1.2965   -2  12   4         2
                73.24          1.35        1.2924    2  12   2         2
                74.11          1.10        1.2793   -2   6   7         2
                74.15          1.14        1.2788    4   4   2         2
                74.65          1.28        1.2715    2   6   5         2
                76.62          1.97        1.2436    0  14   3         2
                76.68          1.14        1.2427   -1  15   1         2
                76.70          3.15        1.2424    1  15   0         2
                78.29          1.04        1.2211   -1  15   2         2
                78.48          1.91        1.2187    0   6   7         2
                79.13          2.39        1.2103   -1   1   8         2
                79.19          1.68        1.2095   -5   5   1         2
                79.46          1.33        1.2062    1   1   7         2
                79.49          1.27        1.2058    5   3   0         2
                80.36          1.28        1.1949    4  10   0         2
                80.72          1.31        1.1904   -4   4   7         2
                81.03          2.00        1.1867   -1  11   6         2
                81.99          1.08        1.1752   -5   5   5         2
                83.66          2.09        1.1559   -3  13   4         2
                83.98          1.49        1.1523    3  13   1         2
                85.05          1.17        1.1406   -3   5   8         2
                85.88          1.77        1.1316    3   5   5         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

